mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
AC;0.250;10.000;0.500;50;1.000;1020196.000;1019441;1020941;506.034;41.000;7;0.607;0.823;0.671
EAS;1.000;5.000;0.500;50;0.200;1021626.000;1021118;1023549;922.534;94.000;7;0.728;0.538;0.671
EAS;0.250;10.000;0.300;20;1.000;1019725.000;1018943;1020519;526.633;24.000;7;0.566;0.914;0.671
AC;0.750;10.000;0.300;50;1.000;1020915.000;1020062;1021188;393.328;68.000;7;0.668;0.677;0.671
EAS;1.000;5.000;0.300;100;0.500;1023999.000;1021940;1024358;933.029;182.000;7;0.930;0.065;0.670
EAS;0.250;10.000;0.500;50;0.200;1019798.000;1019469;1020775;477.574;27.000;7;0.573;0.898;0.670
EAS;1.000;5.000;0.800;20;1.000;1020120.000;1019255;1020796;530.591;39.000;7;0.600;0.833;0.670
EAS;0.500;10.000;0.300;50;0.200;1019765.000;1019619;1020851;440.525;26.000;7;0.570;0.903;0.670
EAS;1.000;5.000;0.500;20;0.500;1020673.000;1019333;1021630;738.816;60.000;7;0.647;0.720;0.669
EAS;1.000;5.000;0.500;20;1.000;1020574.000;1017785;1021587;1306.770;57.000;7;0.639;0.737;0.668
EAS;0.250;10.000;0.800;20;0.200;1019745.000;1018849;1020341;495.082;27.000;7;0.568;0.898;0.667
EAS;0.500;10.000;0.500;20;1.000;1019582.000;1019177;1021284;711.507;21.000;7;0.554;0.930;0.667
AC;0.250;10.000;0.800;20;1.000;1020355.000;1019720;1021044;538.897;50.000;7;0.620;0.774;0.666
AC;0.500;10.000;0.800;20;1.000;1021066.000;1020260;1021641;422.888;78.000;7;0.681;0.624;0.664
AC;0.750;10.000;0.500;50;1.000;1021489.000;1020901;1021941;412.643;94.000;7;0.717;0.538;0.663
EAS;1.000;5.000;0.800;20;0.500;1019854.000;1018940;1020970;839.976;34.000;7;0.577;0.860;0.662
EAS;1.000;5.000;0.300;100;1.000;1021779.000;1021077;1024679;1427.500;107.000;7;0.741;0.468;0.659
AC;0.750;10.000;0.300;100;1.000;1020558.000;1020256;1021080;270.462;64.000;7;0.637;0.699;0.656
AC;0.500;10.000;0.800;50;1.000;1021064.000;1020693;1021943;464.876;85.000;7;0.680;0.586;0.652
EAS;0.500;10.000;0.800;100;0.200;1020369.000;1020180;1020970;317.754;62.000;7;0.621;0.710;0.648
EAS;0.750;5.000;0.800;20;1.000;1019384.000;1018471;1019850;431.368;26.000;7;0.537;0.903;0.647
AC;0.500;10.000;0.500;50;1.000;1020379.000;1020078;1020841;272.068;63.000;7;0.622;0.704;0.647
EAS;0.500;10.000;0.300;50;1.000;1020177.000;1019988;1020540;178.088;56.000;7;0.605;0.742;0.646
EAS;1.000;5.000;0.800;20;0.200;1020114.000;1018966;1021599;884.208;54.000;7;0.600;0.753;0.646
AC;0.500;10.000;0.300;20;1.000;1020142.000;1018039;1021204;1052.542;57.000;7;0.602;0.737;0.642
EAS;0.250;10.000;0.500;20;1.000;1019938.000;1019450;1020589;336.720;50.000;7;0.585;0.774;0.641
EAS;0.250;10.000;0.300;20;0.200;1019560.000;1019275;1020389;391.762;37.000;7;0.552;0.844;0.640
AC;0.500;10.000;0.300;50;1.000;1020445.000;1019900;1021010;370.012;70.000;7;0.628;0.667;0.639
AC;1.000;5.000;0.800;20;1.000;1019193.000;1017760;1020099;822.319;25.000;7;0.521;0.909;0.637
EAS;0.750;5.000;0.500;20;0.500;1019085.000;1017731;1020153;857.944;22.000;7;0.512;0.925;0.636
EAS;0.750;5.000;0.800;50;1.000;1019416.000;1018314;1019969;539.643;35.000;7;0.540;0.855;0.635
AC;1.000;5.000;0.500;20;1.000;1020385.000;1018045;1021408;1106.120;72.000;7;0.623;0.656;0.633
EAS;1.000;5.000;0.300;20;0.200;1021338.000;1020224;1022910;891.470;112.000;7;0.704;0.441;0.625
EAS;1.000;5.000;0.300;50;0.500;1021773.000;1021447;1024446;1124.315;129.000;7;0.741;0.349;0.623
EAS;0.750;5.000;0.800;50;0.200;1018896.000;1018456;1019591;405.102;23.000;7;0.496;0.919;0.623
AC;0.250;10.000;0.300;50;1.000;1020329.000;1019428;1021324;672.564;76.000;7;0.618;0.634;0.623
EAS;1.000;2.000;0.800;100;1.000;1020428.000;1019080;1020985;770.144;80.000;7;0.626;0.613;0.622
EAS;0.750;5.000;0.800;20;0.500;1019231.000;1018322;1020017;630.108;37.000;7;0.524;0.844;0.620
EAS;0.750;5.000;0.800;50;0.500;1019202.000;1018591;1020373;641.268;36.000;7;0.522;0.849;0.620
EAS;0.750;5.000;0.800;100;1.000;1018813.000;1018133;1019561;530.284;23.000;7;0.489;0.919;0.618
EAS;1.000;2.000;0.800;100;0.500;1020894.000;1018880;1021602;920.200;101.000;7;0.666;0.500;0.616
AC;0.750;10.000;0.800;100;1.000;1021837.000;1021252;1022043;278.648;138.000;7;0.746;0.301;0.613
AC;1.000;5.000;0.300;20;1.000;1021517.000;1020418;1023239;910.564;127.000;7;0.719;0.360;0.611
EAS;0.750;5.000;0.800;100;0.500;1018851.000;1018222;1019398;503.605;29.000;7;0.492;0.887;0.611
EAS;1.000;5.000;0.300;20;0.500;1020283.000;1018710;1021165;839.442;83.000;7;0.614;0.597;0.609
EAS;1.000;2.000;0.800;100;0.200;1021255.000;1020816;1021435;219.469;119.000;7;0.697;0.403;0.609
EAS;0.750;5.000;0.800;100;0.200;1019008.000;1018340;1020245;635.677;37.000;7;0.505;0.844;0.607
EAS;0.750;5.000;0.500;20;1.000;1019026.000;1018089;1019756;531.063;38.000;7;0.507;0.839;0.607
EAS;0.750;5.000;0.800;20;0.200;1018941.000;1018372;1019876;519.991;36.000;7;0.500;0.849;0.605
AC;0.750;10.000;0.300;20;1.000;1020668.000;1019945;1021481;590.648;100.000;7;0.647;0.505;0.604
EAS;0.500;5.000;0.500;100;0.500;1018332.000;1017890;1018632;301.201;15.000;7;0.448;0.962;0.602
EAS;0.750;5.000;0.500;50;0.500;1018539.000;1018160;1019208;378.154;25.000;7;0.466;0.909;0.598
AC;0.500;10.000;0.500;20;1.000;1020644.000;1019261;1020981;576.955;103.000;7;0.645;0.489;0.598
