versuchsreihe;alpha;beta;evaporation;group_size;median_value;median_iteration;std_value;min_value;max_value
4;1.500;1.500;0.300;30;1004559.500;46.000;187.101;1004236;1004848
4;1.000;1.000;0.500;30;1004513.500;43.500;248.472;1004298;1005022
4;1.500;1.500;0.500;30;1004514.500;44.500;234.900;1004070;1004891
4;2.000;1.500;0.100;60;1004675.500;71.500;403.686;1004461;1005496
4;2.000;1.000;0.100;90;1004296.000;11.500;210.184;1003807;1004524
4;1.500;1.500;0.100;60;1004496.500;45.500;254.140;1004234;1005086
4;2.000;1.000;0.300;90;1004480.000;43.500;380.927;1003959;1005275
4;1.000;1.000;0.100;30;1004447.500;39.000;152.179;1004184;1004683
4;1.500;0.500;0.500;30;1004461.500;45.500;514.418;1004018;1005423
4;1.500;1.500;0.100;30;1004517.500;56.500;303.462;1004228;1005228
4;2.000;1.000;0.500;30;1004372.000;35.000;665.066;1003720;1005874
4;1.500;0.500;0.300;30;1004351.500;32.000;411.113;1003531;1004895
4;1.000;0.500;0.100;30;1004439.000;50.500;273.866;1004208;1004995
4;2.000;1.500;0.500;30;1004649.500;85.500;349.960;1004086;1005057
4;1.000;1.500;0.300;60;1004319.500;31.000;265.184;1004184;1004984
4;2.000;1.000;0.500;90;1004202.000;13.000;464.659;1003709;1005407
4;2.000;1.000;0.500;60;1004131.000;4.000;358.593;1003856;1004842
4;2.000;1.000;0.300;30;1004202.500;17.000;408.903;1003439;1004455
4;1.500;0.500;0.100;30;1004326.500;38.500;196.553;1003910;1004689
4;2.000;1.000;0.300;60;1004113.000;4.500;169.592;1003961;1004476
4;1.500;0.500;0.500;60;1004368.000;47.500;282.387;1004073;1005060
4;1.000;1.500;0.500;60;1004271.500;33.500;273.222;1004065;1004994
4;2.000;0.500;0.100;90;1004092.500;6.500;281.193;1003788;1004768
4;1.000;1.500;0.100;90;1004320.000;46.000;151.308;1004089;1004650
4;1.000;1.500;0.300;90;1004312.500;48.000;165.744;1004228;1004720
4;2.000;0.500;0.300;30;1004065.500;10.500;397.380;1003393;1004538
4;2.000;0.500;0.100;30;1004082.500;16.500;300.097;1003355;1004212
