mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;2.000;2.500;0.500;10;0.500;110.000;108;118;4.494;21.000;5;0.528;0.581;0.544
EAS;1.500;2.500;0.300;10;0.500;110.000;105;110;2.490;22.000;5;0.528;0.558;0.537
EAS;2.000;2.500;0.300;10;0.500;115.000;110;118;2.881;36.000;5;0.667;0.233;0.536
EAS;1.500;2.500;0.100;30;0.500;107.000;101;110;3.317;14.000;5;0.444;0.744;0.534
AC;1.500;2.500;0.100;30;0.800;108.000;104;110;2.191;17.000;5;0.472;0.674;0.533
AC;2.000;2.500;0.500;10;0.800;115.000;111;118;2.550;37.000;5;0.667;0.209;0.529
EAS;2.000;2.500;0.100;30;0.200;116.000;114;116;0.894;40.000;5;0.694;0.140;0.528
EAS;1.500;2.500;0.100;30;1.000;108.000;107;110;1.095;18.000;5;0.472;0.651;0.526
AC;1.000;2.500;0.500;30;0.800;104.000;99;105;3.130;7.000;5;0.361;0.907;0.525
EAS;1.500;2.500;0.500;10;0.200;111.000;110;116;2.510;27.000;5;0.556;0.442;0.521
EAS;1.500;2.500;0.300;20;0.500;107.000;104;110;2.387;16.000;5;0.444;0.698;0.520
AC;2.000;2.500;0.100;20;0.800;110.000;110;113;1.304;25.000;5;0.528;0.488;0.516
EAS;2.000;2.500;0.500;30;0.200;115.000;110;116;2.490;40.000;5;0.667;0.140;0.509
AC;1.500;2.500;0.500;20;0.800;107.000;106;110;1.871;18.000;5;0.444;0.651;0.506
AC;1.500;2.500;0.300;30;0.800;107.000;103;110;3.050;18.000;5;0.444;0.651;0.506
EAS;1.500;2.500;0.100;20;0.200;107.000;105;110;2.280;18.000;5;0.444;0.651;0.506
EAS;2.000;4.000;0.500;30;1.000;103.000;100;105;2.510;7.000;5;0.333;0.907;0.505
EAS;1.000;2.500;0.500;30;0.200;104.000;100;107;2.702;10.000;5;0.361;0.837;0.504
EAS;1.500;2.500;0.300;10;0.200;108.000;104;115;4.000;22.000;5;0.472;0.558;0.498
EAS;1.500;2.500;0.500;20;0.200;109.000;107;110;1.517;25.000;5;0.500;0.488;0.497
AC;2.000;2.500;0.100;10;0.800;110.000;109;114;2.000;28.000;5;0.528;0.419;0.495
EAS;2.000;2.500;0.100;20;1.000;112.000;109;114;1.924;34.000;5;0.583;0.279;0.492
EAS;1.500;2.500;0.500;20;1.000;108.000;104;110;2.588;23.000;5;0.472;0.535;0.491
EAS;2.000;2.500;0.300;10;0.200;110.000;109;115;2.387;29.000;5;0.528;0.395;0.488
EAS;1.500;2.500;0.300;30;1.000;107.000;107;115;3.493;21.000;5;0.444;0.581;0.486
AC;1.500;2.500;0.500;30;0.800;110.000;105;112;3.209;30.000;5;0.528;0.372;0.481
AC;2.000;4.000;0.500;10;0.800;103.000;99;106;2.683;11.000;5;0.333;0.814;0.478
EAS;1.000;2.500;0.100;20;0.200;104.000;98;105;2.950;14.000;5;0.361;0.744;0.476
EAS;2.000;4.000;0.300;30;1.000;101.000;95;103;3.286;7.000;5;0.278;0.907;0.467
EAS;1.500;2.500;0.100;20;0.500;107.000;107;113;2.608;24.000;5;0.444;0.512;0.465
AC;1.500;2.500;0.100;10;0.800;105.000;102;110;2.881;19.000;5;0.389;0.628;0.461
AC;1.500;2.500;0.500;10;0.800;110.000;107;110;1.414;33.000;5;0.528;0.302;0.460
AC;1.500;2.500;0.100;20;0.800;105.000;103;110;2.775;20.000;5;0.389;0.605;0.454
EAS;2.000;2.500;0.100;20;0.200;110.000;109;116;2.828;35.000;5;0.528;0.256;0.446
AC;2.000;4.000;0.300;30;0.800;100.000;100;105;2.490;8.000;5;0.250;0.884;0.440
EAS;1.000;2.500;0.100;30;1.000;105.000;94;107;5.385;22.000;5;0.389;0.558;0.440
AC;1.000;2.500;0.500;10;0.800;105.000;103;109;2.280;22.000;5;0.389;0.558;0.440
AC;2.000;4.000;0.100;30;0.800;101.000;99;107;3.435;11.000;5;0.278;0.814;0.439
EAS;1.500;2.500;0.100;30;0.200;107.000;105;109;2.000;28.000;5;0.444;0.419;0.437
EAS;1.500;2.500;0.300;20;1.000;108.000;105;109;1.871;31.000;5;0.472;0.349;0.435
EAS;2.000;4.000;0.500;20;1.000;100.000;96;104;3.347;9.000;5;0.250;0.860;0.433
EAS;1.500;2.500;0.500;20;0.500;110.000;107;110;1.304;37.000;5;0.528;0.209;0.432
EAS;1.000;2.500;0.500;30;1.000;104.000;102;107;1.817;21.000;5;0.361;0.581;0.427
AC;2.000;4.000;0.500;20;0.800;100.000;95;104;4.278;10.000;5;0.250;0.837;0.426
EAS;1.500;2.500;0.300;10;1.000;105.000;103;110;3.209;24.000;5;0.389;0.512;0.426
EAS;1.000;2.500;0.300;10;0.500;102.000;96;103;2.775;16.000;5;0.306;0.698;0.423
EAS;2.000;4.000;0.300;10;1.000;100.000;97;100;1.414;11.000;5;0.250;0.814;0.419
EAS;1.500;2.500;0.100;10;0.200;105.000;104;107;1.304;25.000;5;0.389;0.488;0.419
EAS;1.500;2.500;0.100;10;1.000;105.000;104;110;2.387;25.000;5;0.389;0.488;0.419
EAS;1.500;2.500;0.100;20;1.000;105.000;101;115;5.675;25.000;5;0.389;0.488;0.419
EAS;2.000;4.000;0.300;20;0.500;100.000;97;105;3.082;12.000;5;0.250;0.791;0.412
EAS;2.000;4.000;0.300;30;0.200;100.000;96;105;3.194;12.000;5;0.250;0.791;0.412
EAS;2.000;4.000;0.300;30;0.500;100.000;97;105;2.881;12.000;5;0.250;0.791;0.412
EAS;2.000;4.000;0.100;20;1.000;100.000;98;100;0.894;12.000;5;0.250;0.791;0.412
EAS;1.500;2.500;0.500;10;1.000;110.000;109;115;2.702;40.000;5;0.528;0.140;0.411
EAS;1.000;2.500;0.500;20;1.000;101.000;98;110;4.827;15.000;5;0.278;0.721;0.411
EAS;1.500;2.500;0.500;30;0.200;107.000;105;108;1.095;32.000;5;0.444;0.326;0.409
EAS;1.500;2.500;0.500;10;0.500;108.000;105;110;2.049;35.000;5;0.472;0.256;0.407
AC;2.000;4.000;0.300;10;0.800;100.000;95;105;3.782;13.000;5;0.250;0.767;0.405
EAS;2.000;4.000;0.100;30;0.500;100.000;100;105;2.236;13.000;5;0.250;0.767;0.405
EAS;1.000;2.500;0.500;10;1.000;101.000;99;105;2.408;16.000;5;0.278;0.698;0.404
EAS;2.000;4.000;0.500;20;0.200;99.000;95;101;2.449;11.000;5;0.222;0.814;0.400
AC;1.000;2.500;0.300;30;0.800;104.000;100;105;2.345;25.000;5;0.361;0.488;0.399
AC;2.000;4.000;0.100;20;0.800;100.000;95;105;3.962;14.000;5;0.250;0.744;0.398
AC;1.000;2.500;0.300;20;0.800;102.000;97;107;4.561;20.000;5;0.306;0.605;0.395
EAS;2.000;4.000;0.500;10;1.000;103.000;100;107;2.881;23.000;5;0.333;0.535;0.394
AC;1.000;2.500;0.500;20;0.800;104.000;100;107;2.775;26.000;5;0.361;0.465;0.392
