mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;1.000;2.000;0.800;100;0.200;1006738.000;1006412;1006867;144.781;92.000;7;0.405;0.537;0.445;99.516
AC;0.250;10.000;0.500;100;1.000;1006516.000;1006398;1006872;185.081;73.000;7;0.362;0.638;0.445;99.494
EAS;0.500;5.000;0.500;100;0.500;1005877.000;1005632;1005928;102.277;18.000;7;0.236;0.931;0.444;99.431
EAS;0.750;5.000;0.500;20;0.500;1006058.000;1005823;1006490;270.752;34.000;7;0.272;0.846;0.444;99.448
EAS;0.250;10.000;0.500;20;0.200;1005892.000;1005742;1006302;225.740;20.000;7;0.239;0.920;0.443;99.432
EAS;1.000;2.000;0.800;100;1.000;1006561.000;1005429;1007322;582.467;78.000;7;0.370;0.612;0.443;99.498
EAS;0.250;10.000;0.300;50;0.200;1005911.000;1005818;1007042;443.272;22.000;7;0.243;0.910;0.443;99.434
EAS;0.250;10.000;0.300;20;0.200;1005956.000;1005808;1006240;139.192;27.000;7;0.252;0.883;0.441;99.438
AC;0.500;10.000;0.800;20;1.000;1006675.000;1006403;1007313;287.413;90.000;7;0.393;0.548;0.439;99.509
EAS;1.000;5.000;0.300;20;0.500;1006370.000;1005105;1007276;668.995;64.000;7;0.333;0.686;0.439;99.479
AC;1.000;5.000;0.300;50;1.000;1007750.000;1007567;1007936;126.337;183.000;7;0.604;0.053;0.439;99.616
EAS;1.000;5.000;0.500;20;0.200;1006239.000;1005114;1007654;759.882;53.000;7;0.307;0.745;0.438;99.466
EAS;0.500;10.000;0.300;20;0.500;1005796.000;1005558;1006295;272.919;15.000;7;0.220;0.947;0.438;99.423
EAS;0.750;5.000;0.800;100;0.200;1005993.000;1005493;1006262;250.277;32.000;7;0.259;0.856;0.438;99.442
EAS;1.000;5.000;0.800;20;0.200;1006074.000;1005411;1007226;584.932;39.000;7;0.275;0.819;0.438;99.450
EAS;0.250;10.000;0.500;20;0.500;1005822.000;1005665;1006184;210.276;18.000;7;0.225;0.931;0.437;99.425
EAS;1.000;5.000;0.500;20;0.500;1006314.000;1005906;1006920;342.304;61.000;7;0.322;0.702;0.436;99.474
EAS;0.500;5.000;0.300;50;0.200;1005791.000;1005146;1006219;350.810;16.000;7;0.219;0.941;0.436;99.422
AC;0.500;10.000;0.800;50;1.000;1006668.000;1006451;1007109;218.535;92.000;7;0.392;0.537;0.435;99.509
EAS;0.750;5.000;0.500;100;0.200;1005819.000;1005667;1006415;256.413;20.000;7;0.225;0.920;0.433;99.425
EAS;0.750;5.000;0.800;100;1.000;1006011.000;1005892;1006690;276.068;37.000;7;0.262;0.830;0.433;99.444
EAS;0.500;5.000;0.800;50;1.000;1005941.000;1005289;1006615;479.761;31.000;7;0.249;0.862;0.433;99.437
EAS;0.250;5.000;0.300;50;0.500;1005709.000;1005063;1006051;340.139;11.000;7;0.203;0.968;0.433;99.414
EAS;1.000;5.000;0.300;50;0.500;1007691.000;1006746;1008061;465.598;182.000;7;0.593;0.059;0.432;99.610
AC;0.250;5.000;0.300;100;1.000;1005898.000;1005704;1006400;234.463;28.000;7;0.240;0.878;0.431;99.433
AC;1.000;5.000;0.500;20;1.000;1006581.000;1005439;1007055;678.506;87.000;7;0.374;0.564;0.431;99.500
EAS;0.500;5.000;0.500;50;0.200;1005699.000;1005403;1005814;146.951;11.000;7;0.201;0.968;0.431;99.413
AC;0.250;10.000;0.300;20;1.000;1006109.000;1005898;1006381;182.193;47.000;7;0.282;0.777;0.430;99.453
EAS;0.250;5.000;0.800;100;0.500;1005673.000;1005519;1005992;151.010;10.000;7;0.196;0.973;0.429;99.410
AC;0.500;5.000;0.800;100;1.000;1005781.000;1005626;1006112;159.453;20.000;7;0.217;0.920;0.428;99.421
EAS;0.500;5.000;0.300;100;0.500;1005825.000;1005544;1006202;236.085;24.000;7;0.226;0.899;0.428;99.425
AC;0.750;5.000;0.800;50;1.000;1006531.000;1005964;1006761;258.576;85.000;7;0.365;0.574;0.428;99.495
AC;0.750;5.000;0.500;50;1.000;1006053.000;1005855;1007236;476.679;44.000;7;0.271;0.793;0.427;99.448
EAS;0.500;5.000;0.800;100;0.200;1005844.000;1005459;1005915;160.552;26.000;7;0.230;0.888;0.427;99.427
EAS;0.750;5.000;0.800;100;0.500;1006049.000;1005808;1006562;245.786;44.000;7;0.270;0.793;0.427;99.448
EAS;0.750;5.000;0.500;100;1.000;1005834.000;1005677;1005987;119.449;26.000;7;0.228;0.888;0.426;99.426
AC;0.750;5.000;0.800;100;1.000;1006250.000;1006119;1006509;126.030;62.000;7;0.309;0.697;0.426;99.467
EAS;0.500;5.000;0.500;100;1.000;1005936.000;1005777;1006221;163.052;35.000;7;0.248;0.840;0.425;99.436
EAS;0.250;5.000;0.500;100;0.500;1005816.000;1005583;1006035;179.536;25.000;7;0.224;0.894;0.425;99.424
EAS;0.500;5.000;0.500;50;0.500;1005849.000;1005422;1006234;310.396;28.000;7;0.231;0.878;0.425;99.428
EAS;1.000;2.000;0.800;100;0.500;1006745.000;1006049;1007327;403.059;107.000;7;0.407;0.457;0.422;99.516
AC;0.500;5.000;0.800;20;1.000;1006233.000;1005717;1006481;251.689;63.000;7;0.306;0.691;0.422;99.466
EAS;1.000;5.000;0.500;20;1.000;1006682.000;1005650;1007344;559.728;102.000;7;0.394;0.484;0.421;99.510
EAS;1.000;5.000;0.800;20;0.500;1006130.000;1004781;1006873;752.592;55.000;7;0.286;0.734;0.420;99.456
EAS;0.500;5.000;0.300;50;0.500;1005716.000;1005402;1005953;212.213;20.000;7;0.204;0.920;0.419;99.415
EAS;1.000;5.000;0.300;20;1.000;1006579.000;1005293;1007978;938.710;96.000;7;0.374;0.516;0.417;99.500
EAS;0.250;5.000;0.300;100;0.200;1005691.000;1005493;1006124;232.033;20.000;7;0.199;0.920;0.416;99.412
AC;1.000;2.000;0.800;100;1.000;1006757.000;1006636;1007269;260.047;112.000;7;0.409;0.431;0.416;99.518
EAS;0.250;5.000;0.500;50;0.200;1005551.000;1005388;1005644;99.287;9.000;7;0.172;0.979;0.414;99.398
AC;0.250;5.000;0.800;20;1.000;1005922.000;1005286;1006279;349.839;41.000;7;0.245;0.809;0.414;99.435
AC;0.250;5.000;0.800;100;1.000;1005864.000;1005675;1006047;135.097;36.000;7;0.233;0.835;0.414;99.429
EAS;0.500;5.000;0.800;100;0.500;1005778.000;1005510;1006342;271.882;29.000;7;0.217;0.872;0.413;99.421
EAS;0.250;10.000;0.800;20;0.200;1005985.000;1005685;1006211;167.973;47.000;7;0.257;0.777;0.413;99.441
EAS;0.500;5.000;0.500;20;0.200;1005682.000;1004969;1005772;296.199;21.000;7;0.198;0.915;0.413;99.411
EAS;0.750;5.000;0.500;50;0.500;1005911.000;1005571;1006445;283.955;41.000;7;0.243;0.809;0.412;99.434
EAS;0.500;5.000;0.500;100;0.200;1005618.000;1005482;1005967;170.660;16.000;7;0.185;0.941;0.412;99.405
AC;0.500;5.000;0.500;100;1.000;1005954.000;1005532;1006176;211.590;45.000;7;0.251;0.787;0.412;99.438
