mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;1.000;3.500;0.100;50;0.500;1003688.000;1003561;1003866;97.395;16.500;10;0.383;0.826;0.516;99.214
EAS;0.500;5.000;0.500;50;1.000;1003688.000;1003363;1003688;104.092;16.500;10;0.383;0.826;0.516;99.214
EAS;0.500;3.500;0.500;50;1.000;1003688.000;1003612;1003859;65.971;16.500;10;0.383;0.826;0.516;99.214
EAS;0.500;3.500;0.100;50;0.500;1003688.000;1003652;1003877;65.137;16.500;10;0.383;0.826;0.516;99.214
EAS;0.500;3.500;0.300;50;1.000;1003688.000;1003429;1003688;84.999;16.500;10;0.383;0.826;0.516;99.214
EAS;0.500;5.000;0.500;30;1.000;1003688.000;1003578;1003688;34.821;16.500;10;0.383;0.826;0.516;99.214
EAS;1.500;2.000;0.300;10;1.000;1003816.500;1003699;1004115;136.755;35.500;10;0.517;0.512;0.515;99.227
EAS;1.500;5.000;0.500;50;1.000;1003660.000;1003490;1003866;122.366;12.500;10;0.353;0.893;0.515;99.211
EAS;1.500;3.500;0.500;50;0.500;1003633.500;1003561;1003878;131.837;9.000;10;0.326;0.950;0.513;99.209
EAS;1.000;5.000;0.500;30;0.200;1003660.000;1003660;1003688;14.459;13.000;10;0.353;0.884;0.513;99.211
EAS;0.500;5.000;0.500;30;0.500;1003666.000;1003490;1003688;79.172;14.000;10;0.360;0.868;0.512;99.212
EAS;1.000;5.000;0.300;50;0.500;1003674.000;1003633;1003688;19.357;15.500;10;0.368;0.843;0.511;99.213
EAS;0.500;3.500;0.300;30;0.500;1003646.500;1003339;1003688;113.922;11.500;10;0.339;0.909;0.510;99.210
AC;1.000;5.000;0.500;30;1.000;1003660.000;1003660;1003857;60.796;13.500;10;0.353;0.876;0.510;99.211
EAS;1.500;5.000;0.300;50;0.500;1003660.000;1003561;1003660;46.708;13.500;10;0.353;0.876;0.510;99.211
EAS;1.000;5.000;0.500;50;1.000;1003660.000;1003490;1003878;92.516;13.500;10;0.353;0.876;0.510;99.211
EAS;0.500;3.500;0.500;30;1.000;1003688.000;1003633;1003688;22.966;18.000;10;0.383;0.802;0.508;99.214
EAS;0.500;3.500;0.100;50;0.200;1003674.000;1003429;1003688;81.595;16.000;10;0.368;0.835;0.508;99.213
EAS;1.000;5.000;0.500;50;0.200;1003660.000;1003561;1003877;79.518;14.000;10;0.353;0.868;0.508;99.211
AC;1.500;3.500;0.500;30;1.000;1003772.000;1003561;1003954;138.632;30.500;10;0.470;0.595;0.508;99.222
EAS;1.000;5.000;0.300;50;0.200;1003688.000;1003561;1003688;40.903;18.500;10;0.383;0.793;0.506;99.214
EAS;0.500;5.000;0.500;50;0.500;1003688.000;1003490;1003688;61.753;19.000;10;0.383;0.785;0.503;99.214
EAS;1.500;3.500;0.100;30;0.500;1003684.000;1003561;1003877;124.994;18.500;10;0.379;0.793;0.503;99.214
EAS;1.000;5.000;0.500;50;0.500;1003688.000;1003660;1003857;76.244;19.500;10;0.383;0.777;0.501;99.214
EAS;0.500;5.000;0.300;50;0.500;1003688.000;1003660;1003688;9.698;19.500;10;0.383;0.777;0.501;99.214
EAS;1.500;5.000;0.500;30;1.000;1003646.500;1003490;1003660;62.029;13.500;10;0.339;0.876;0.500;99.210
EAS;1.000;3.500;0.100;50;1.000;1003660.000;1003633;1003857;86.996;15.500;10;0.353;0.843;0.500;99.211
EAS;0.500;5.000;0.300;30;0.500;1003688.000;1003391;1003688;92.686;20.000;10;0.383;0.769;0.498;99.214
EAS;1.000;3.500;0.500;50;1.000;1003735.500;1003561;1003878;121.162;27.000;10;0.432;0.653;0.498;99.219
EAS;1.000;3.500;0.500;30;1.000;1003674.000;1003490;1003878;123.431;18.000;10;0.368;0.802;0.498;99.213
EAS;1.500;5.000;0.100;50;1.000;1003660.000;1003490;1003688;61.171;16.000;10;0.353;0.835;0.498;99.211
AC;1.000;5.000;0.500;50;1.000;1003674.000;1003660;1003688;14.757;18.500;10;0.368;0.793;0.496;99.213
AC;1.500;5.000;0.300;50;1.000;1003660.000;1003561;1003866;118.466;16.500;10;0.353;0.826;0.495;99.211
EAS;1.000;5.000;0.300;30;1.000;1003660.000;1003633;1003688;17.500;16.500;10;0.353;0.826;0.495;99.211
EAS;0.500;5.000;0.300;30;0.200;1003688.000;1003391;1003688;92.655;21.000;10;0.383;0.752;0.494;99.214
EAS;0.500;5.000;0.100;30;0.500;1003688.000;1003256;1003688;159.067;21.000;10;0.383;0.752;0.494;99.214
EAS;0.500;5.000;0.300;30;1.000;1003688.000;1003429;1003688;81.396;21.000;10;0.383;0.752;0.494;99.214
EAS;0.500;3.500;0.100;30;0.500;1003672.000;1003561;1003857;72.270;19.000;10;0.366;0.785;0.492;99.213
EAS;0.500;3.500;0.500;50;0.200;1003672.000;1003561;1003688;39.484;19.000;10;0.366;0.785;0.492;99.213
AC;0.500;2.000;0.300;10;1.000;1003705.500;1003339;1003945;199.455;24.000;10;0.401;0.702;0.491;99.216
EAS;0.500;2.000;0.500;10;0.500;1003643.000;1003441;1003732;97.277;15.000;10;0.336;0.851;0.490;99.210
EAS;0.500;2.000;0.500;50;0.200;1003673.500;1003454;1003950;137.032;19.500;10;0.368;0.777;0.490;99.213
AC;0.500;3.500;0.500;10;1.000;1003656.000;1003415;1003688;84.215;17.000;10;0.349;0.818;0.490;99.211
EAS;1.000;2.000;0.100;10;0.500;1003718.000;1003526;1003894;121.826;26.500;10;0.414;0.661;0.488;99.217
EAS;1.500;5.000;0.100;10;1.000;1003660.000;1003429;1003877;122.701;18.000;10;0.353;0.802;0.488;99.211
EAS;1.500;3.500;0.500;50;1.000;1003610.000;1003561;1003877;117.563;11.000;10;0.301;0.917;0.486;99.206
EAS;0.500;5.000;0.500;30;0.200;1003688.000;1003391;1003688;107.661;22.500;10;0.383;0.727;0.486;99.214
AC;1.500;5.000;0.100;10;1.000;1003615.500;1003490;1003688;68.954;12.500;10;0.307;0.893;0.483;99.207
AC;1.500;3.500;0.100;30;1.000;1003827.500;1003629;1003882;107.844;44.000;10;0.528;0.372;0.481;99.228
AC;1.000;5.000;0.100;30;1.000;1003688.000;1003660;1003688;13.525;23.500;10;0.383;0.711;0.481;99.214
EAS;1.000;2.000;0.300;10;0.500;1003671.000;1003396;1003889;140.142;21.000;10;0.365;0.752;0.481;99.212
EAS;1.500;2.000;0.100;10;1.000;1003708.000;1003556;1004093;152.605;26.500;10;0.404;0.661;0.481;99.216
EAS;0.500;5.000;0.300;10;0.500;1003646.500;1003381;1003688;143.564;17.500;10;0.339;0.810;0.481;99.210
EAS;1.000;5.000;0.300;30;0.200;1003660.000;1003391;1003688;113.424;19.500;10;0.353;0.777;0.481;99.211
AC;1.500;5.000;0.500;50;1.000;1003653.000;1003561;1003866;115.207;18.500;10;0.346;0.793;0.480;99.211
EAS;1.000;3.500;0.300;50;1.000;1003666.000;1003561;1003878;114.526;20.500;10;0.360;0.760;0.480;99.212
EAS;0.500;3.500;0.500;30;0.500;1003665.500;1003441;1003688;74.858;20.500;10;0.359;0.760;0.480;99.212
EAS;0.500;3.500;0.300;50;0.200;1003688.000;1003363;1003877;124.377;24.000;10;0.383;0.702;0.479;99.214
EAS;0.500;2.000;0.100;30;1.000;1003677.000;1003611;1003840;76.830;22.500;10;0.371;0.727;0.478;99.213
EAS;0.500;3.500;0.100;30;0.200;1003660.000;1003391;1003688;99.332;20.000;10;0.353;0.769;0.478;99.211
EAS;1.000;5.000;0.100;30;1.000;1003688.000;1003660;1003688;11.806;24.500;10;0.383;0.694;0.476;99.214
AC;0.500;3.500;0.300;50;1.000;1003688.000;1003660;1003846;73.247;24.500;10;0.383;0.694;0.476;99.214
EAS;0.500;2.000;0.100;10;0.500;1003762.500;1003368;1003829;166.881;35.500;10;0.460;0.512;0.476;99.222
AC;0.500;2.000;0.500;30;1.000;1003728.500;1003606;1003922;104.542;30.500;10;0.425;0.595;0.476;99.218
EAS;1.500;5.000;0.100;30;0.500;1003660.000;1003561;1003864;107.445;20.500;10;0.353;0.760;0.476;99.211
EAS;1.000;5.000;0.500;30;1.000;1003660.000;1003561;1003688;38.939;20.500;10;0.353;0.760;0.476;99.211
AC;1.000;3.500;0.500;30;1.000;1003823.000;1003660;1003955;114.294;44.500;10;0.523;0.364;0.476;99.227
EAS;1.500;5.000;0.300;30;0.200;1003561.000;1003397;1003877;123.706;6.000;10;0.250;1.000;0.475;99.202
AC;1.500;3.500;0.100;10;1.000;1003679.500;1003557;1003981;156.048;23.500;10;0.374;0.711;0.475;99.213
EAS;1.000;2.000;0.100;10;0.200;1003780.000;1003538;1003954;133.265;38.500;10;0.479;0.463;0.474;99.223
AC;0.500;3.500;0.100;50;1.000;1003688.000;1003660;1003878;83.437;25.000;10;0.383;0.686;0.474;99.214
EAS;0.500;5.000;0.300;10;0.200;1003633.000;1003363;1003688;138.363;17.000;10;0.325;0.818;0.473;99.209
EAS;1.500;5.000;0.100;30;0.200;1003646.500;1003490;1003660;62.029;19.000;10;0.339;0.785;0.473;99.210
AC;1.500;5.000;0.100;30;1.000;1003660.000;1003561;1003688;52.876;21.000;10;0.353;0.752;0.473;99.211
EAS;0.500;5.000;0.100;50;0.200;1003660.000;1003391;1003688;93.538;21.000;10;0.353;0.752;0.473;99.211
EAS;1.500;5.000;0.100;50;0.200;1003660.000;1003490;1003878;97.733;21.500;10;0.353;0.744;0.471;99.211
EAS;1.000;3.500;0.500;30;0.200;1003660.000;1003378;1003878;131.376;21.500;10;0.353;0.744;0.471;99.211
EAS;1.000;2.000;0.500;10;1.000;1003822.000;1003603;1004119;178.251;45.500;10;0.522;0.347;0.470;99.227
AC;1.000;2.000;0.100;30;1.000;1003945.000;1003833;1004086;73.513;64.000;10;0.651;0.041;0.468;99.240
EAS;1.500;5.000;0.300;30;0.500;1003610.500;1003490;1003866;105.568;15.000;10;0.302;0.851;0.467;99.206
EAS;1.000;3.500;0.300;30;1.000;1003674.000;1003315;1003877;174.595;24.500;10;0.368;0.694;0.466;99.213
EAS;1.500;3.500;0.500;30;0.200;1003685.000;1003561;1003878;134.245;26.500;10;0.380;0.661;0.464;99.214
EAS;1.500;5.000;0.100;30;1.000;1003660.000;1003490;1003864;103.924;23.000;10;0.353;0.719;0.463;99.211
EAS;1.500;3.500;0.100;50;0.200;1003740.000;1003621;1003981;133.429;35.000;10;0.437;0.521;0.462;99.219
EAS;1.000;5.000;0.100;10;0.500;1003610.500;1003182;1003688;197.624;16.000;10;0.302;0.835;0.462;99.206
EAS;1.000;2.000;0.300;10;1.000;1003623.500;1003416;1004288;268.677;18.000;10;0.315;0.802;0.461;99.208
EAS;1.000;3.500;0.300;50;0.500;1003660.000;1003498;1003878;115.560;23.500;10;0.353;0.711;0.461;99.211
AC;1.500;3.500;0.300;30;1.000;1003740.500;1003561;1003877;139.006;35.500;10;0.437;0.512;0.460;99.219
EAS;0.500;2.000;0.500;30;0.500;1003699.500;1003571;1003981;129.712;29.500;10;0.395;0.612;0.460;99.215
EAS;0.500;5.000;0.500;10;0.500;1003674.000;1003001;1003688;229.710;26.000;10;0.368;0.669;0.458;99.213
EAS;1.500;3.500;0.300;30;0.500;1003619.500;1003561;1003878;136.329;18.000;10;0.311;0.802;0.458;99.207
EAS;1.000;5.000;0.300;10;0.200;1003646.500;1002950;1003660;232.103;22.000;10;0.339;0.736;0.458;99.210
EAS;0.500;2.000;0.500;10;1.000;1003731.000;1003256;1003851;211.201;34.500;10;0.428;0.529;0.458;99.218
AC;0.500;2.000;0.100;30;1.000;1003771.500;1003649;1004405;222.177;40.500;10;0.470;0.430;0.458;99.222
EAS;1.000;5.000;0.300;30;0.500;1003688.000;1003391;1003688;91.921;28.500;10;0.383;0.628;0.456;99.214
AC;1.000;2.000;0.300;10;1.000;1003932.500;1003683;1004120;124.002;64.500;10;0.638;0.033;0.456;99.238
EAS;0.500;3.500;0.500;30;0.200;1003660.000;1003277;1003688;124.832;24.500;10;0.353;0.694;0.456;99.211
EAS;1.500;5.000;0.300;10;1.000;1003561.000;1003080;1003660;175.928;10.000;10;0.250;0.934;0.455;99.202
EAS;1.500;3.500;0.500;30;1.000;1003565.500;1003497;1003819;109.582;11.000;10;0.255;0.917;0.454;99.202
AC;0.500;5.000;0.300;10;1.000;1003674.000;1003391;1003688;114.686;27.000;10;0.368;0.653;0.454;99.213
EAS;1.000;5.000;0.300;10;0.500;1003646.500;1003483;1003688;86.133;23.000;10;0.339;0.719;0.453;99.210
